Time,EyeTracking_X,EyeTracking_Y,Gaze
718,686.9,223.22,0
719,693.13,221.46,0
720,696.46,207.66,0
721,696.3,206.01,0
722,694.36,209.96,0
723,694.21,207.04,0
724,694.39,205.88,0
725,712.99,187.91,0
726,733.87,125.63,0
727,736.66,128.66,0
728,737.88,140.63,1
729,738.44,136.55,1
730,740.22,134.64,1
731,739.98,132.16,1
732,739.94,131.55,1
733,737.71,130.89,1
734,736.43,132.07,1
735,735.28,130.9,1
736,735.37,132.06,1
737,734.45,131.68,1
738,734.82,132.56,1
739,734.2,133.91,1
740,733.47,133.46,1
741,732.99,135.51,1
742,731.37,133.92,1
743,728.22,134.24,1
744,720.45,106.36,1
745,724.67,110.07,1
746,723.22,113.97,1
747,724.37,114.35,1
748,723.5,117.27,1
749,722.85,115.81,1
750,722.17,114.22,1
751,721.3,115.03,1
752,722.83,114.61,1
753,720.61,116.66,1
754,721.71,117.04,1
755,722.17,115.31,1
756,728.28,113.54,1
757,792.93,94.38,1
758,806.43,87.98,1
759,794.16,92.83,1
760,795.49,92.85,1
761,797.23,91.22,1
762,796.55,89.79,1
763,797.35,89.86,1
764,797.61,89.52,1
765,797.56,90.09,1
766,796.43,88.8,1
767,797.49,86.49,1
768,799.35,85.19,1
769,800.44,84.48,1
770,800.36,82.48,1
771,800.33,81.91,1
772,800.99,81.78,1
773,801.16,81.79,1
774,801.56,83.24,1
775,803.69,82.65,1
776,808,82.48,1
777,803.33,67.05,1
778,787.5666667,117.9777778,1
779,,,0
780,,,
781,,,
782,,,
783,,,
784,,,
785,325.8625,429.0875,0
786,348.72,379.15,0
787,549.56,480.26,0
788,578.9,538.24,0
789,577.62,534.23,0
790,573.53,531.81,0
791,572.6,529.52,0
792,572.14,527,0
793,572.85,523.07,0
794,573.38,527.56,0
795,574.31,530.65,0
796,572.9,534.38,1
797,571.36,531.57,1
798,569.13,526.82,1
799,568.63,519.79,1
800,565.57,520.29,1
801,567,516.92,1
802,567.84,517.68,1
803,566.05,519.64,1
804,567.9,522.32,1
805,569.98,522.6,1
806,570.3,522.56,1
807,571.1,523.8,1
808,571.42,525.21,1
809,571.11,526.04,1
810,583.49,525.31,1
811,662.29,523.95,1
812,697,522.29,1
813,726.77,521.2,0
814,718.19,525.33,0
815,719.81,523.79,0
816,722.07,520.72,0
817,721.72,522.86,0
818,741.84,510.22,0
819,790.32,344.78,0
820,810.58,184.25,0
821,871.04,125.74,0
822,871.22,121,0
823,875.05,129.74,0
824,878.78,116.45,0
825,880.28,115.58,0
826,880.79,115.75,0
827,880.33,116.7,0
828,879.5,116.64,0
829,877.68,116.52,1
830,878.83,119.26,1
831,879.93,117.6,1
832,878.67,116.4,1
833,880.76,117.2,1
834,881.55,116.73,1
835,881.85,115.99,1
836,880.76,116.12,1
837,872.63,126.38,1
838,773.02,256.9,1
839,650.97,420.87,1
840,632.39,487.57,0
841,631.64,456.15,0
842,623.17,467.42,0
843,620.87,482.88,0
844,621.54,481.44,0
845,622.68,478.96,0
846,624.05,477.39,0
847,623.12,478.14,0
848,621.02,478.57,0
849,621.66,480.74,1
850,621.87,483.27,1
851,622.26,483.28,1
852,622.9,484.13,1
853,623.06,485.73,1
854,624.57,484.17,1
855,624.44,482.27,1
856,623.89,482.36,1
857,589.55,481.24,1
858,511.99,472.49,1
859,519.05,479.11,1
860,524.53,481.65,1
861,524.82,479.99,1
862,522.88,481,1
863,522.84,479.53,1
864,522.65,479.67,1
865,522.37,478.75,1
866,521.12,477.91,1
867,521.89,477.36,1
868,521.47,476.32,1
869,521.44,476.84,1
870,520.94,474.96,1
871,520.44,476.54,1
872,520.77,479.82,1
873,520.56,477.92,1
874,522.39,477.74,1
875,521.26,476.14,1
876,519.84,475.95,1
877,521.59,475.95,1
878,521.07,476.24,1
879,520.11,474.99,1
880,519.34,473.23,1
881,520.43,474.48,1
882,521.37,474.31,1
883,511.24,472.79,1
884,451.83,402.46,1
885,452,354.41,1
886,462.16,387.28,0
887,463.31,390.25,0
888,461.64,384.04,0
889,461.2,380.87,0
890,463.61,383.14,0
891,463.48,383.32,0
892,462.5,385.04,0
893,462.05,379.72,0
894,462.08,383.1,1
895,462.55,382.11,1
896,461.58,381.43,1
897,462.06,382.23,1
898,459.15,382.07,1
899,460.24,380.34,1
900,460.5,380.46,1
901,460.9,381.22,1
902,462.07,381.34,1
903,461.19,379.79,1
904,461.13,379.68,1
905,459.48,380.47,1
906,460.26,380.67,1
907,461.76,382.6,1
908,460.53,381.91,1
909,461.03,381.78,1
910,509.49,362.58,1
911,609.86,247.37,1
912,724.93,172.61,0
913,774.65,164.86,0
914,765.3,164.16,0
915,771.06,163.37,0
916,777.67,159.13,0
917,777.99,155.22,0
918,779.11,152.55,0
919,781.1,155.09,0
920,783.32,157.89,0
921,847.06,110.81,0
922,873.56,71.86,0
923,865.37,101.22,0
924,862.27,99.24,0
925,864.94,95.98,0
926,864.84,93.67,0
927,864.43,93.99,0
928,863.63,94.51,0
929,863.49,92.67,0
930,862.67,90.3,0
931,865.21,91.24,1
932,864.66,91.53,1
933,863.55,91.83,1
934,864.93,89.05,1
935,875.07,90.73,1
936,943.55,66.64,1
937,940.88,64.32,1
938,936.77,68.01,1
939,936.5,69.58,1
940,939.62,65.16,1
941,941.25,66.54,1
942,942.28,66.45,1
943,942.29,64.66,1
944,942.7,66.72,1
945,943.11,65.06,1
946,943.34,64.79,1
947,945.21,67.83,1
948,945.65,66.44,1
949,944.9,64.79,1
950,945.18,64.64,1
951,943.49,63.87,1
952,943.11,66.08,1
953,945.39,64.49,1
954,946.96,64.1,1
955,948.43,63.11,1
956,948.61,64.44,1
957,948.83,65.41,1
958,947.56,62.43,1
959,948.19,62.96,1
960,948.31,59.97,1
961,945.98,58.22,1
962,948.1,59.15,1
963,947.34,60.13,1
964,947.43,60.66,1
965,949.43,61.46,1
966,950.12,59.47,1
967,951.62,58.84,1
968,949.64,59.11,1
969,949.17,58.09,1
970,949.23,58.68,1
971,949.86,59.06,1
972,950.19,58.16,1
973,948.89,55.04,1
974,946.62,57.28,1
975,947.49,56.22,1
976,947.48,56.09,1
977,946.37,56.12,1
978,945.95,54.49,1
979,947.11,55.09,1
980,946.56,54.11,1
981,945.96,52.91,1
982,947.02,52.49,1
983,944.86,52.46,1
984,946.32,51.91,1
985,947.52,54.38,1
986,946.4,56.2,1
987,945.38,54.86,1
988,945.02,53.4,1
989,944.76,52.65,1
990,945.08,52.48,1
991,945.72,52.55,1
992,946.63,52.03,1
993,946.69,52.25,1
994,945.76,54.63,1
995,945.52,55.27,1
996,945.78,55.79,1
997,944.68,54.58,1
998,945.95,57.13,1
999,946.5,58.39,1
1000,946.99,57.13,1
1001,946.45,55.15,1
1002,947.72,54.53,1
1003,947.85,54.45,1
1004,948.13,56.77,1
1005,947.92,57.07,1
1006,947.81,57.38,1
1007,948.47,56.6,1
1008,939.05,50.97,1
1009,912.11,43.25,1
1010,921.09,43.98,1
1011,923.91,46.47,1
1012,923.28,46.01,1
1013,924.46,44.96,1
1014,926.64,47.26,1
1015,925.66,48.66,1
1016,923.69,47.3,1
1017,921.8,46.44,1
1018,920.24,48.28,1
1019,920.69,47.02,1
1020,921.31,46.25,1
1021,921.06,46.86,1
1022,919.65,44.79,1
1023,921.23,45.3,1
1024,921.81,43.94,1
1025,920.21,42.73,1
1026,918.97,41.3,1
1027,916.88,43,1
1028,916.2,41.45,1
1029,915.29,41.23,1
1030,913.67,41.88,1
1031,914.46,44.41,1
1032,913.99,41.12,1
1033,913.63,40.85,1
1034,912.76,42.42,1
1035,913.47,40.77,1
1036,909.29,41.57,1
1037,804.72,48.53,1
1038,711.65,47.55,1
1039,709.04,54.35,1
1040,734.5,49.02,0
1041,724.79,53.9,0
1042,721.75,53.71,0
1043,722.73,52.88,0
1044,722.73,52.64,0
1045,719.83,50.96,0
1046,722.15,52.34,0
1047,720.41,50.48,1
1048,720.16,49.94,1
1049,720.12,50.99,1
1050,720.09,49.05,1
1051,720.21,49.87,1
1052,721.43,48.63,1
1053,720.2,49.19,1
1054,720.33,48.79,1
1055,720.56,49.24,1
1056,720.52,50.19,1
1057,721.89,49.7,1
1058,721.88,48.58,1
1059,721.17,48.94,1
1060,722.8,47.42,1
1061,724.54,46.13,1
1062,725.32,44.83,1
1063,724.86,46.7,1
1064,723.6,46.76,1
1065,722.88,47.73,1
1066,723.75,48.96,1
1067,744.32,46.19,1
1068,813.31,45.04,1
1069,810.9,42.38,1
1070,800.96,44.33,1
1071,798.49,47.5,1
1072,799.09,46.48,1
1073,800.7,46.17,1
1074,801.49,47.92,1
1075,801.78,48.89,1
1076,803,48.13,1
1077,802.71,48.87,1
1078,802.05,50.23,1
1079,801.31,49.39,1
1080,801.57,52.12,1
1081,804.54,53.25,1
1082,793.96,58.17,1
1083,701.48,122.25,1
1084,615.47,136.92,1
1085,556.82,139.66,0
1086,489.74,203.15,0
1087,526.98,410.08,0
1088,542.92,467.96,0
1089,539.84,466.78,0
1090,541.63,457.89,0
1091,538.82,457.88,0
1092,538.64,461.17,0
1093,541.27,467.41,0
1094,542.59,472.58,0
1095,543.21,472.18,0
1096,543.02,473.82,1
1097,542.52,475.85,1
1098,542.43,477.92,1
1099,542.89,476.65,1
1100,544.38,478.26,1
1101,546,478.82,1
1102,547.09,477.94,1
1103,547.87,477.77,1
1104,548.85,478.14,1
1105,548.43,476.74,1
1106,548.16,477.71,1
1107,549.54,479.45,1
1108,548.46,476.27,1
1109,547.71,478.6,1
1110,546.62,477.47,1
1111,547.07,477.86,1
1112,546.35,478.98,1
1113,545.84,479.66,1
1114,546.21,479.2,1
1115,546.78,481.97,1
